factor,outcome,binning,delta_high_minus_low
rolling_xg_5,shot_next_2,quintile,0.029129364105275002
shots_5,shot_next_2,quintile,0.05821131408915539
xg_diff_5,shot_next_2,quintile,0.03905496624879459
set_piece_shots_5,shot_next_2,0/1/2+,0.056123312913989754
big_chances_5,shot_next_2,0/1/2+,0.09957188828870242
rolling_xg_5,shot_next_5,quintile,0.07008493774692093
shots_5,shot_next_5,quintile,0.11211205627605014
xg_diff_5,shot_next_5,quintile,0.07184185149469624
set_piece_shots_5,shot_next_5,0/1/2+,0.10237561631555359
big_chances_5,shot_next_5,0/1/2+,0.31947477301459604
